COMPAÑIA,NIVEL ACTUAL,PRODUCTO,TERMINO,APORTE,% COMISIONAL PAGO LIQUIDACION
TRINITY,4,PROTECTION PLUS,/,REGULAR,76.50%
TRINITY,4,SUPREME,15,REGULAR,76.50%
TRINITY,4,EXECUTIVE 20,20,REGULAR,76.50%
TRINITY,4,PLAYER 10,10,REGULAR,72.00%
TRINITY,4,EXECUTIVE 15,15,REGULAR,61.20%
TRINITY,4,EXECUTIVE 10,10,REGULAR,53.55%
TRINITY,4,ANNUITY PLAN,/,UNICO,3.56%
ITA,5,ACS5000,5,UNICO,4.05%
ITA,5,ACS5025,5,UNICO,3.04%
ITA,5,ACS5050,5,UNICO,2.03%
ITA,5,ACS5075,5,UNICO,1.01%
ITA,5,ACS5100,5,UNICO,0.00%
ITA,5,ACS8000,8,UNICO,4.50%
ITA,5,ACS8025,8,UNICO,3.38%
ITA,5,ACS8050,8,UNICO,2.25%
ITA,5,ACS8075,8,UNICO,1.13%
ITA,5,ACS8100,8,UNICO,0.00%
ITA,5,ACS***,3,UNICO,2.25%
ITA,5,ACS***,5,UNICO,4.05%
ITA,5,ACS***,8,UNICO,4.50%
ITA,5,ACS***,10,UNICO,4.86%
ITA,5,ACSPL*,1,UNICO,0.23%
ITA,5,ACX***,3,UNICO,2.25%
ITA,5,ACX***,5,UNICO,4.05%
ITA,5,ACX***,8,UNICO,4.50%
ITA,5,ACX***,10,UNICO,4.86%
ITA,5,EVO05-CR,5,REGULAR,10.35%
ITA,5,EVO05,5,REGULAR,10.35%
ITA,5,EVO10-CR,10,REGULAR,18.90%
ITA,5,EVO10,10,REGULAR,18.90%
ITA,5,EVO15-CR,15,REGULAR,24.75%
ITA,5,EVO15,15,REGULAR,24.75%
ITA,5,EVO20-CR,20,REGULAR,40.50%
ITA,5,EVO20,20,REGULAR,40.50%
ITA,5,EVO25-CR,25,REGULAR,49.50%
ITA,5,EVO25,25,REGULAR,49.50%
ITA,5,EVOPL*,1,REGULAR,0.50%
ITA,5,EVOSEL,5,REGULAR,1.80%
ITA,5,EVOSEL*,5,REGULAR,0.50%
ITA,5,FIFR03-CR,3,REGULAR,0.90%
ITA,5,FIFR03-N,3,REGULAR,0.90%
ITA,5,FIFR05-CR,5,REGULAR,1.80%
ITA,5,FIFR05-N,5,REGULAR,1.80%
ITA,5,FIFR07-CR,7,REGULAR,2.70%
ITA,5,FIFR07,7,REGULAR,2.70%
ITA,5,FIFR10-CR,10,REGULAR,3.60%
ITA,5,FIFR10,10,REGULAR,3.60%
ITA,5,FIVR15-CR,15,REGULAR,20.25%
ITA,5,FIVR15,15,REGULAR,20.25%
ITA,5,MSCI10-CR**,10,REGULAR,18.90%
ITA,5,MSCI10**,10,REGULAR,18.90%
ITA,5,MSCI15-CR**,15,REGULAR,40.50%
ITA,5,MSCI15**,15,REGULAR,40.50%
ITA,5,MSCI20-CR**,20,REGULAR,45.00%
ITA,5,MSCI20**,20,REGULAR,45.00%
ITA,5,PLAT-CR,5,UNICO,2.93%
ITA,5,PLAT,5,UNICO,2.93%
ITA,5,PLATPL-CR*,1,UNICO,0.50%
ITA,5,PLATPL*,1,UNICO,0.50%
ITA,5,PLATS-CR,5,UNICO,4.05%
ITA,5,PLATS,5,UNICO,4.05%
ITA,5,SPX07-CR,7,REGULAR,2.70%
ITA,5,SPX07-N,7,REGULAR,2.70%
ITA,5,SPX10-CRX**,10,REGULAR,18.90%
ITA,5,SPX10-X**,10,REGULAR,18.90%
ITA,5,SPX15-CR,15,REGULAR,40.50%
ITA,5,SPX15-CRX**,15,REGULAR,40.50%
ITA,5,SPX15-X**,15,REGULAR,40.50%
ITA,5,SPX20-CRX**,20,REGULAR,45.00%
ITA,5,SPX20-X**,20,REGULAR,45.00%
MANHATTAN,0.035,FIA,/,UNICO,3.15%
MANHATTAN,0.035,MARKET SHIELD,/,REGULAR,3.15%
AFIBL,C5,ULTRA III*,/,REGULAR,63.00%
AFIBL,C5,INDEXA PRO IUL*,/,REGULAR,63.00%
AFIBL,C5,UL PRIME*,/,REGULAR,54.00%
AFIBL,C5,SELECT TERM 10 & 15,/,REGULAR,27.00%
AFIBL,C5,SELECT TERM 20 & 30,/,REGULAR,49.50%
AFIBL,C5,SELEC TERM TO A 85 & TO A 100,/,REGULAR,54.00%
AFIBL,C5,CRITICAL ILLNESS,/,REGULAR,11.70%
DOMINION,4,MY SAVINGS STRATEGY,/,REGULAR,2.88%
DOMINION,4,MY INVESTMENT STRATEGY,/,UNICO,3.15%
STONEX,2,BEYOND CAUTELOSO,/,REGULAR,2.43%
STONEX,2,BEYOND BALANCEADO,/,REGULAR,2.88%
STONEX,2,BEYOND DINAMICO,/,REGULAR,3.42%
STONEX,2,STANDARD,/,UNICO,3.15%
MEJORCDT,,MEJOR CDT,/,,
SKANDIA,,CES,/,,
SKANDIA,,CPA,/,,
SKANDIA,,CREA PATRIMONIO,/,REGULAR,28.00%
SKANDIA,,FPOB,/,,
SKANDIA,,IMPACTO,/,,
SKANDIA,,MFUND,/,,
SKANDIA,,ACCAI,/,,
SKANDIA,,C+S,/,,
